package,owner
addinsJoaoMelo,pjoao266
addinslist,daattali
addinsOutline,calote
additive,hsbadr
additiveDEA,cran
additivityTests,simecek
addreg,mdonoghoe
addScales,cran
ADDT,yili-hong
adductomicsR,josielhayes
ade4,sdray
ade4TkGUI,aursiber
adea,mmm-uca
adegenet,thibautjombart
adegraphics,sdray
adehabitatHR,clementcalenge
adehabitatHS,clementcalenge
adehabitatLT,clementcalenge
adehabitatMA,clementcalenge
adephylo,sdray
adepro,cran
adept,martakarass
adeptdata,martakarass
AdequacyModel,prdm0
ADER,cran
adespatial,sdray
adfExplorer,pepijn-devries
adformR,pablosanmar
ADGofTest,cjgb
adheRenceRX,btbeal
AdhereR,ddediu
AdhereRViz,ddediu
adimpro,cran
ADImpute,anacarolinaleote
adiv,sandrinepavoine
adjclust,pneuvial
adjROC,haghish
adjSURVCI,mkhanal12
adjustedcranlogs,tylermorganwall
adjustedCurves,robindenz1
adklakedata,lawinslow
adlift,cran
admiral,pharmaverse
admiral.test,bms63
admiraldev,pharmaverse
admiralonco,pharmaverse
admiralophtha,pharmaverse
admiralvaccine,pharmaverse
admisc,dusadrian
AdMit,ardiad
admix,xaviermilhaud
admixr,bodkan
ADMM,kisungyou
admmDensestSubmatrix,pbombina
ADMMnet,cran
ADMMsigma,mgallow
ADMUR,ucl
adnuts,cole-monnahan-noaa
adobeanalyticsr,benrwoodard
adoptr,kkmann
ADP,cran
ADPclust,ethanyxu
ADPF,samdkruse
adpss,ca4wa
ads,pelissie
adsDataHubR,pankaj-bhatlawande
adSplit,bioc
AdvancedBasketballStats,cran
AdvBinomApps,cran
AdvDif4,jaderlugon
adventr,profandyfield
adverSCarial,bioc
ADVICE,cran
adw,panfengzhang
adwave,mpcox
adwordsR,cran
AEDForecasting,apunatto
AEenrich,umich-biostatistics
AEP,mahditeimouri
AER,zeileis
AeRobiology,oteros
AeroSampleR,markhogue
AF,cran
afc,cran
afdx,johnaponte
afex,singmann
AFFECT,meintraumus
affinity,hypertidy
affinitymatrix,edoardociscato
AffiXcan,bioc
affluenceIndex,cran
affxparser,henrikbengtsson
affy,rafalab
affycomp,rafalab
affyContam,vjcitn
affycoretools,bioc
affyILM,bioc
affyio,bmbolstad
affylmGUI,gksmyth
affyPLM,bmbolstad
AffyRNADegradation,bioc
AFheritability,cran
AFM,mbeauvai
afmToolkit,cran
afpt,marcoklh
AFR,afrkz
africamonitor,sebkrantz
aftgee,stc04003
afthd,atanubhattacharjee
afttest,woojungbae
ag5Tools,agrdatasci
AGD,stefvanbuuren
AGDEX,bioc
ageg,nobilisvenator
agena.ai,cran
ageutils,timtaylor
agfh,martenthompson
agghoo,cran
aggregateBioVar,jasonratcliff
AggregateR,cran
aggregation,lynnyi
aggTrees,riccardo-df
AGHmatrix,rramadeu
aghq,cran
agilp,bioc
AgiMicroRna,bioc
aglm,kkondo1981
agop,gagolews
AGPRIS,edoardobaldoni
agRee,daifengstat
AgreementInterval,jialinx007
agricolae,cran
agricolaeplotr,jensharbers
agridat,kwstat
agrifeature,cran
agriTutorial,rned
agriutilities,apariciojohan
agriwater,cesarofs
agrmt,r-forge
AgroR,agronomiar
AgroReg,agronomiar
agrostab,cran
AgroTech,rmarubayashi
ags,sumtxt
agtboost,blunde1
agua,tidymodels
agvgd,maialab
ahaz,agorstras
AHM,vtshen
AHMassBank,jorainer
AHMbook,mikemeredith
ahMLE,cran
ahnr,jroberayalas
AhoCorasickTrie,chambm
AHPGaussian,cidedson
AHPhybrid,miguellellis
ahpsurvey,frankiecho
AHPtools,amarnathbose
ahptopsis2n,raqueldourado
AHPWR,lucianea
AHSurv,abdisalammuse
ahw,palryalen
aibd,dbdahl
aIc,ggloor
AICcmodavg,mamaz7
AICcPermanova,sustainscapes
AID,osmandag
aidar,cran
aides,enochkang
aif360,ssaishruthi
aihuman,sooahnshin
aimPlot,ybkamaleri
AIMS,bioc
aimsir17,jimduggan
aion,tesselle
AIPW,yqzhong7
aire.zmvm,diegovalle
airGR,cran
airGRdatasets,cran
airGRdatassim,cran
airGRiwrm,inrae
airGRteaching,cran
aiRly,piotrekjanus
AirMonitor,mazamascience
airnow,briandconnelly
airpart,wancen
airportr,dshkol
airports,openintrostat
airqualityES,jdieramon
airr,javh
airt,sevvandi
aiRthermo,cran
aisoph,yunrochung
ajv,jdthorpe
akc,hope-data-science
Ake,wanbitching
akiFlagger,isaranwrap
akima,cran
akmbiclust,lizichao7
alabama,rvaradhan
alabaster,bioc
alabaster.base,bioc
alabaster.bumpy,bioc
alabaster.files,bioc
alabaster.mae,bioc
alabaster.matrix,bioc
alabaster.ranges,bioc
alabaster.sce,bioc
alabaster.schemas,bioc
alabaster.se,bioc
alabaster.spatial,bioc
alabaster.string,bioc
alabaster.vcf,bioc
alakazam,javh
ALassoSurvIC,pakdaewo
albatross,cran
albopictus,kerguler
ald,chedgala
ALDEx2,ggloor
ALDqr,lbenitesanchez
aldvmm,pletschm
ALEPlot,dapley
alevinQC,csoneson
aLFQ,grosenberger
alfr,rwetherall
alfred,onnokleen
algaeClassify,vppatil
AlgDesign,jvbraun
AlgebraicHaploPackage,cran
algo,feddelegrand7
algorithmia,algorithmiaio
aliases2entrez,peyronlab
align,cran
alkahest,tesselle
allcontributors,ropensci
alleHap,cran
allelematch,noreastermt
AlleleRetain,elweiser
AlleleShift,cran
AllelicImbalance,pappewaio
AllelicSeries,zmccaw-insitro
allestimates,uqwang
AllMetrics,sandipgarai
allMT,tmungle
allodb,ropensci
allomr,ziegenknauff
Allspice,cran
alluvial,mbojan
almanac,davisvaughan
alone,doehm
alookr,choonghyunryu
alpaca,amrei-stammann
alpha.correction.bh,cran
AlphaBeta,bioc
alphabetr,edwardslee
alphaci,jonasmoss
alphahull,beatrizpateiro
AlphaHull3D,stla
alphaN,jespernwulff
alphaOutlier,cran
AlphaPart,cran
alphashape3d,beatrizpateiro
AlphaSimR,gaynorr
alphastable,mahditeimouri
alphavantager,business-science
AlpsNMR,sipss
alqrfe,iandanilevicz
alr4,sanfordweisberg
ALS,k-m-m
ALSCPC,cran
ALSM,alighanbari26
altadata,altabering
altair,vegawidget
altcdfenvs,bioc
altdoc,etiennebacher
AlteredPQR,cran
altfuelr,burch-cm
altmeta,linlf
ALTopt,robustsource
altR2,karchjd
ALUES,alstat
amanida,mariallr
amanpg,cran
amap,antoinelucas64
amapGeocode,womeimingzi11
amapro,helgasoft
AMAPVox,umr-amap
AMARETTO,bioc
amazonadsR,pablosanmar
amazons3R,pablosanmar
amazonspR,pablosanmar
ambhasGW,cran
ambient,thomasp85
ambit,almutveraart
AMCP,yelleknek
AMCTestmakeR,nilsmy
Amelia,mattblackwell
amelie,dbolotov
amen,pdhoff
AmericanCallOpt,cran
amerifluxr,chuhousen
amerika,pdwaggoner
AmesHousing,topepo
ami,briandconnelly
AmigaFFH,cran
AMIM,gelotran
ammiBayes,cran
ammistability,ajaygpb
AMModels,cran
AmmoniaConcentration,tumenas
aMNLFA,vtcole
AmoudSurv,abdisalammuse
AMOUNTAIN,bioc
amp,adam-s-elder
ampd,cran
AmpGram,michbur
ampir,legana
AMPLE,pacificcommunity
amplican,valenlab
AmpliconDuo,anla8000
AMR,msberends
amt,jmsigner
AmyloGram,michbur
anabel,cran
AnaCoDa,clandere
Anaconda,plstenger
anacor,r-forge
analogsea,pachadotdev
analogue,gavinsimpson
analyzer,apxr
AnanseSeurat,jgasmits
anapuce,julieaubert
Anaquin,bioc
AncestryMapper,eoh-gh
AnchorRegression,simzim96
ANCOMBC,frederickhuanglin
and,rossellhayes
andrews,sigbertklinke
Andromeda,ohdsi
andurinha,noemiallefs
anesrake,jmping
AneuFinder,ataudt
ANF,bioc
AnglerCreelSurveySimulation,stevenranney
angstroms,australianantarcticdivision
aniDom,cran
anim.plots,hughjonesd
animalcules,compbiomed
animalEKF,sam-data-guy-iam
AnimalHabitatNetwork,cran
animaltracker,mathedjoe
animate,kcf-jackson
animation,yihui
animint2,animint
animl,cran
anipaths,henryrscharf
aniSNA,prabhleenkaur19
aniview,lgnbhl
anMC,dazzimonti
ANN2,bflammers
annaffy,bioc
anndata,dynverse
annmap,cruk-mi
annmatrix,karoliskoncevicius
AnnoProbe,jmzeng1314
annotate,bioc
annotater,luisdva
AnnotationBustR,sborstein
AnnotationDbi,bioconductor
AnnotationFilter,bioconductor
AnnotationForge,bioconductor
AnnotationHub,bioconductor
AnnotationHubData,bioc
annotationTools,bioc
annotator,cran
annotatr,rcavalcante
AnnuityRIR,fabriziomaturo
anocva,macielcalebe
ANOM,philippallmann
anomaly,cran
anota,bioc
anota2seq,bioc
ANOVAIREVA,kartikeyabolar
ANOVAShiny,kartikeyabolar
ANOVAShiny2,kartikeyabolar
anovir,philipagnew
anscombiser,paulnorthrop
AntAngioCOOL,cran
antanym,ropensci
antaresEditObject,rte-antares-rpackage
antaresProcessing,rte-antares-rpackage
antaresRead,rte-antares-rpackage
antaresViz,rte-antares-rpackage
anthro,worldhealthorganization
anthroplus,dirkschumacher
AnthropMMD,frederic-santos
Anthropometry,cran
AntibodyTiters,hkatomed
anticlust,m-py
antiProfiles,hcbravolab
antitrust,luciu5
antiword,ropensci
AntMAN,bbodin
ANTs,sebastiansosa
AnVIL,link-ny
AnVILBilling,vjcitn
AnVILPublish,link-ny
AnVILWorkflow,shbrief
AnxietySleep,nim-ach
anybadger,lmeninato
anyflights,simonpcouch
anyLib,achateigner
anytime,eddelbuettel
ao,loelschlaeger
aod,cran
aods3,cran
aoos,wahani
aopdata,rafapereirabr
Aoptbdtvc,doer0
aoristic,jerryratcliffe
aorsf,ropensci
aos,lgnbhl
AOV1R,laustep
AovBay,javierrojasc
apa,dgromer
apache.sedona,cran
ApacheLogProcessor,diogosmendonca
APackOfTheClones,qile0317
APAlyzer,rjwangbioinfo
apaTables,dstanley4
apaText,dstanley4
apc,cran
APCanalysis,ardenewan
apcf,rnuske
APCI,jiahui1902
apcluster,ubod
aPCoA,yushushi
apComplex,bioc
APCtools,bauer-alex
apdesign,cran
ape,emmanuelparadis
aPEAR,ievaker
apeglm,bioc
apercu,achateigner
apex,thibautjombart
apexcharter,dreamrs
APFr,nmargaritella
APfun,andrew-plowright
aphid,shaunpwilkinson
aphylo,uscbiostats
api2lm,jfrench
APIS,julienrochemode
apisensr,dhaine
APL,bioc
aplore3,lbraglia
aplot,yulab-smu
aplpack,cran
APML0,leesprite
apng,cran
apollo,cran
appeears,bluegreen-labs
APPEstimation,eisuke-inoue
appleadsR,pablosanmar
appler,ashbaldry
applicable,tidymodels
AppliedPredictiveModeling,topepo
appnn,carlosfamilia
apportion,christopherkenny
appreci8R,bioc
appRiori,ugranziol
approximator,robinhankin
approxmatch,cran
approxOT,ericdunipace
appsflyeR,pablosanmar
aprean3,lbraglia
aprof,marcodvisser
apsimx,femiguez
apt,cran
APtools,hengruicai
apTreeshape,cran
apyramid,r4epi
AQEval,karlropkins
AQLSchemes,johnjsl7
aqp,ncss-tech
AquaBEHER,robeltakele
AQuadtree,raymondlagonigro
AquaEnv,karlines
aquodom,redtent
AR,cran
ar.matrix,nmmarquez
arabic2kansuji,indenkun
arabicStemR,nielsenrich
arakno,cran
ArArRedux,pvermees
arc,kliegr
ARCensReg,fernandalschumacher
ArchaeoChron,philippe-a
ArchaeoPhases,archaeostat
ArchaeoPhases.dataset,philippe-a
archdata,d-carlson
archeofrag,sebastien-plutniak
archeoViz,sebastien-plutniak
archetypal,dchristop
archetyper,mkorvink
archetypes,mjaeugster
archiDART,archidart
archive,r-lib
archiveRetriever,liserman
archivist,pbiecek
archivist.github,marcinkosinski
ArCo,gabrielrvsc
ARCokrig,pulongma
arcpullr,cran
arctools,martakarass
ArDec,susanabarbosa
ARDL,natsiopoulos
ardl.nardl,eiotoakhia
ards,dbosak01
area,hypertidy
areabiplot,albertoosilva
areal,chris-prener
arealDB,luckinet
areaplot,arni-magnusson
arena2r,pedroliman
arenar,modeloriented
arf,bips-hb
arfima,jqveenstra
argo,shihao-yang
argoFloats,argocanada
argonDash,rinterface
argonR,rinterface
argosfilter,cran
argparse,trevorld
argparser,djhshih
argus,hormannw
ARHT,haoranli
ari,jhudsl
ARIbrain,cran
aricode,jchiquet
AriGaMyANNSVR,sandipgarai
ARIMAANN,cran
arkdb,ropensci
arkhe,tesselle
arm,suyusung
armada,aurelie-gueudin
armspp,mbertolacci
arnie,imanuelcostigan
AROC,coterodriguez
aroma.affymetrix,henrikbengtsson
aroma.apd,henrikbengtsson
aroma.cn,henrikbengtsson
aroma.core,henrikbengtsson
aroma.light,henrikbengtsson
Arothron,aprofico
ARPALData,paolomaranzano
ARpLMEC,cran
ARPobservation,jepusto
arpr,thinkr-open
aRpsDCA,derrickturk
arrangements,randy3k
arrApply,sgsokol
ArrayExpress,bioc
arrayhelpers,r-forge
arrayMvout,vjcitn
arrayQuality,bioc
arrayQualityMetrics,grimbough
ARRmNormalization,bioc
arrow,apache
ars,cran
arse,nr3xe
arsenal,mayoverse
ART,cran
artfima,angusian
arthistory,saralemus7
artMS,biodavidjm
ARTofR,hzhang-ouce
ARTool,mjskay
aRtsy,koenderks
arules,mhahsler
arulesCBA,mhahsler
arulesNBMiner,mhahsler
arulesSequences,cran
arulesViz,mhahsler
aRxiv,ropensci
ASAFE,bioc
asaur,mooredf22
asbio,kenaho1
ascentTraining,harryjalexander
ascii,mclements
asciicast,r-lib
asciichartr,blmayer
asciiruler,leipzig
asciiSetupReader,jacobkap
ascotraceR,ihsankhaliq
asd,astroherring
asdreader,pierreroudier
ASEB,bioc
ASGS.foyer,hughparsonage
ASGSCA,bioc
ash,cran
ashr,stephens999
asht,cran
ASICS,bioc
AsioHeaders,eddelbuettel
ASIP,cran
askgpt,jbgruber
askpass,r-lib
aslib,coseal
ASMap,drj001
asmbPLS,runzhiz
asnipe,cran
aSPC,cran
aspect,r-forge
aspi,waylandm
ASpli,bioc
aspline,goepp
aSPU,ikwak2
asremlPlus,cran
ASRgenomics,sgezan
ASSA,mmbbcarvalho
assert,olivierbinette
assertable,gnguy
assertions,selkamand
assertive,richierocks
assertive.base,richierocks
assertive.code,richierocks
assertive.data,richierocks
assertive.data.uk,richierocks
assertive.data.us,richierocks
assertive.datetimes,richierocks
assertive.files,richierocks
assertive.matrices,richierocks
assertive.models,richierocks
assertive.numbers,richierocks
assertive.properties,richierocks
assertive.reflection,richierocks
assertive.sets,richierocks
assertive.strings,richierocks
assertive.types,richierocks
assertr,ropensci
assertthat,hadley
AssessORF,bioc
ASSET,bioc
AssetAllocation,rubetron
AssetCorr,maximiliannaglur
AssetPricing,rolfturner
ASSIGN,compbiomed
assignPOP,alexkychen
assignR,bumbanian
assist,cran
ASSISTant,bnaras
AssocAFC,kkunji
assocInd,cran
AssocTests,liqgroup
assortnet,cran
AST,alighanbari26
ast2ast,konrad1991
aster,cjgeyer
aster2,cjgeyer
asteRisk,rafael-ayala
AsthmaNHANES,suntaojj
astrochron,cran
astrodatR,cran
astroFns,cran
astsa,dsstoffer
ASURAT,bioc
ASV,omori-yasuhiro
AsyK,jahmadkhan
asylum,humaniverse
asymLD,rsingle
AsymmetricSORDs,cran
asymmetry,berriez
asymmetry.measures,cran
asympTest,lafaye
asymptor,bisaloo
async,crowding
AsynchLong,sth1402
ata,chajewski
atable,arminstroebel
ATACCoGAPS,fertiglab
ATACseqQC,jianhong
ATACseqTFEA,jianhong
ATAforecasting,alsabtay
atakrig,maoguihu
ATbounds,atbounds
atena,functionalgenomics
atime,tdhock
atlas,podalv
AtlasMaker,rachel-greenlee
AtmChile,franciscoxaxo
atmopt,simonmak
ATNr,cran
atom4R,eblondel
atpolR,gsapijaszko
ATR,thothorn
aTSA,cran
atSNP,sunyoungshin
attachment,thinkr-open
attempt,colinfay
attention,bquast
attenuation,jonasmoss
attract,bioc
attrib,raubreywhite
AUC,ballings
AUCell,bioc
auctestr,jpgard
auctionr,ajmack
audio,s-u
audiometry,cran
audit,cran
auditor,modeloriented
audrex,cran
audubon,paithiov909
augmentedRCBD,aravind-j
AugmenterR,datasets-trainer
augSIMEX,cran
auk,ropensci
aum,tdhock
AurieLSHGaussian,auriee
auRoc,daifengstat
ausplotsR,ternaustralia
AustralianPoliticians,rohanalexander
AUtests,cran
auth0,curso-r
auto.pca,navinkumarnedunchezhian
AutoAds,nemtsevvv
autoBagging,vcerqueira
autocart,ethanancell
autocogs,schloerke
autoCovariateSelection,technoslerphile
AutoDeskR,paulgovan
autoencoder,youph
autoEnsemble,haghish
autoFC,tspsyched
autoFRK,h0h1
autoGO,mpallocc
autoharp,cran
autohrf,demsarjure
autoimage,jfrench
autokeras,r-tensorflow
automagic,cole-brokamp
automap,jskoien
autoMFA,john-c-davey
automl,aboulaboul
autonewsmd,kapsner
autonomics,bioc
AutoPipe,falafel19
autoplotly,terrytangyuan
Autoplotprotein,cran
autoRasch,cran
autoReg,cardiomoon
AutoregressionMDE,cran
AutoScore,nliulab
autoScorecard,aughunter
Autoseed,jaredrecords
autoshiny,alekrutkowski
autostats,harrison4192
AutoStepwiseGLM,cran
autostsm,hubbardalex
autotest,ropensci
autothresholdr,rorynolan
autoTS,vivienroussez
AutoWeatherIndices,cran
av,ropensci
available,r-lib
avar,smac-group
averisk,johnfergusonnuig
avidaR,cran
AvInertia,charvey23
aVirtualTwins,prise6
avocado,nikdata
awardFindR,ropensci
aweek,reconhub
aweSOM,cran
AWFisher,caleb-huo
awinR,pablosanmar
AWR,daroczig
AWR.Kinesis,daroczig
AWR.KMS,daroczig
aws,jpolzehl
aws.alexa,soodoku
aws.comprehend,cloudyr
aws.ec2metadata,cloudyr
aws.ecx,jiefei-wang
aws.iam,cloudyr
aws.kms,cloudyr
aws.lambda,cloudyr
aws.polly,cloudyr
aws.s3,cloudyr
aws.signature,cloudyr
aws.transcribe,cloudyr
aws.translate,cloudyr
awsMethods,jpolzehl
awst,drisso
AZIAD,niloufardousti
aziztest,cran
azlogr,atalv
AzureAppInsights,stefanedwards
AzureAuth,azure
AzureCognitive,azure
AzureContainers,azure
AzureCosmosR,azure
AzureGraph,azure
AzureKeyVault,azure
AzureKusto,azure
azuremlsdk,azure
AzureQstor,azure
AzureRMR,azure
AzureStor,azure
AzureTableStor,azure
AzureVision,azure
AzureVM,azure
AzureVMmetadata,azure
BaalChIP,bioc
babel,olshena
babeldown,ropensci
babelgene,igordot
babelmixr2,nlmixr2
babelquarto,ropensci
babelwhale,dynverse
babette,ropensci
babsim.hospital,bartzbeielstein
babynames,hadley
babynamesIL,aviezerl
BACCO,robinhankin
BACCT,cran
bacistool,jjacklee116
backbone,zpneal
backpipe,decisionpatterns
backports,r-lib
backShift,christinaheinze
backtest,dgerlanc
bacon,bioc
bacondecomp,evanjflack
BACprior,detal9
bacr,cran
BADER,bioc
badger,guangchuangyu
BadRegionFinder,bioc
baffle,j-moravec
bagged.outliertrees,rafajpsantos
baggr,wwiecek
BAGofT,cran
BAGS,bioc
baguette,tidymodels
bahc,damienchallet
bain,cjvanlissa
baizer,william-swl
bakeoff,apreshill
bakR,simonlabcode
BalanceCheck,cran
BalancedSampling,antongrafstrom
baldur,cran
Ball,mamba413
ballgown,alyssafrazee
BALLI,cran
BallMapper,pdlotko
BaM,jgill22
bama,umich-cphds
BAMBI,c7rishi
bamboo,dbdahl
bambooHR,mangothecat
bambu,goekelab
bamdit,bayesstats
bamlss,freezenik
bamm,luismurao
BAMMtools,cran
bamp,volkerschmid
bamsignals,lamortenera
bandit,markusloecher
banditpam,bnaras
BANDITS,simonetiberi
bandle,ococrook
bandsfdp,uni-arya
bang,paulnorthrop
bangladesh,cran
bannerCommenter,billvenables
banocc,bioc
BANOVA,banovaapp
banter,ericarcher
banxicoR,eflores89
bapred,romanhornung
BAR,cran
BarBorGradient,alterion
barcode,jayemerson
baRcodeR,ropensci
barcodetrackR,dunbarlabnih
BarcodingR,zhangab2008
bardr,wzbillings
bark,merliseclyde
Barnard,kerguler
BART,rsparapa
bartBMA,cran
bartCause,vdorie
bartcs,yooyh
bartMachine,cran
bartMachineJARs,cran
BartMixVs,chujiluo
baRulho,marce10
Barycenter,marcelklatt
BAS,merliseclyde
basad,qingdan
base.rms,cran
base64,jeroen
base64enc,s-u
base64url,mllg
baseballDBR,keberwein
baseballr,billpetti
basecallQC,bioc
basecamb,codeblue-team
basedosdados,pedrocava
basefun,r-forge
baseline,khliland
basemaps,16eagle
basemodels,ying-ju
baseq,ambuvjyn
BaseSet,ropensci
BaseSpaceR,bioc
BaseTempSeed,hardikghosh911
basetheme,karoliskoncevicius
basf,mdsumner
Basic4Cseq,bioc
basicMCMCplots,danielturek
BASiCS,catavallejos
basicspace,jameslo989
BASiCStan,alanocallaghan
BasicSTARRseq,bioc
basictabler,cbailiss
basifoR,wilarhen
basilisk,ltla
basilisk.utils,bioc
BASiNET,fabriciomlopes
BASiNETEntropy,fabriciomlopes
BaSkePro,marco-vidal
basket,kaneplusplus
BasketballAnalyzeR,sndmrc
baskexact,lbau7
BASS,dfrancom
bastah,cran
BAT,cran
batata,feddelegrand7
batch,cran
batchelor,bioc
BatchExperiments,tudo-r
BatchGetSymbols,msperlin
BatchJobs,tudo-r
batchmeans,drjphughesjr
batchmix,stcolema
BatchQC,mani2012
batchscr,sherrisherry
batchtma,stopsack
batchtools,mllg
bate,dbasu-umass
batman,ironholds
batsch,ramiromagno
batteryreduction,chunqiaoluo
BAwiR,cran
bayclumpr,tripati-lab
baycn,evanamartin
bayefdr,vallejosgroup
Bayenet,xilustat
bayes4psy,bstatcomp
bayesAB,frankportman
bayesammi,myaseen208
bayesanova,riko-k
BayesARIMAX,cran
bayesassurance,jpan928
BayesBEKK,cran
BayesBinMix,mqbssppe
bayesbio,andymckenzie
bayesboot,rasmusab
BayesBP,cran
bayesbr,pjoao266
BayesCACE,formidify
BayesCombo,stanlazic
BayesComm,goldingn
bayescopulareg,ethan-alt
bayescount,mdenwood
BayesCR,cran
bayesCT,thevaachandereng
BayesCTDesign,begglest
BayesDA,kjetil1001
bayesDccGarch,jafiorucci
BayesDesign,cran
bayesdfa,fate-ewi
BayesDIP,chenw10
BayesDissolution,tpourmohamad
bayesdistreg,cran
BayesDLMfMRI,johnatanlab
bayesDP,graemeleehickey
BayesESS,github-js
BayesFactor,richarddmorey
BayesFluxR,cran
BayesFM,piatek
BayesfMRI,mandymejia
bayesforecast,cran
bayesGAM,cran
bayesGARCH,ardiad
BayesGOF,cran
BayesGPfit,kangjian2016
BayesGWQS,mmcarli
bayesian,hsbadr
bayesianETAS,gordonjamesross
Bayesiangammareg,cran
BayesianGLasso,trainorp
BayesianLaterality,lcbc-uio
BayesianMediationA,qingzhaoyu
BayesianNetwork,paulgovan
BayesianPlatformDesignTimeTrend,zxw834
BayesianPower,fayetteklaassen
BayesianReasoning,gorkang
BayesianTools,florianhartig
Bayesiantreg,mmarinj
bayesImageS,mooresm
BayesKnockdown,bioc
BayesLCA,itsarthurwhite
bayesLife,hanase
bayeslincom,josue-rodriguez
bayeslm,jingyuhe
BayesLN,agardini
BayesLogit,jwindle
bayesloglin,cran
bayeslongitudinal,cran
bayesm,cran
BayesMallows,ocbe-uio
BayesMassBal,skoermer
bayesmeta,christianroever
BayesMFSurv,nicolas-schmidt
bayesmix,cran
BayesMixSurv,asmahani
BayesMortalityPlus,cran
bayesmove,joshcullen
BayesMRA,jtipton25
bayesMRM,mansukoh
BayesMultiMode,paullabonne
BayesMultMeta,ethorsn
bayesnec,open-aims
BayesNetBP,hyu-ub
BayesNSGP,danielturek
BayesOrdDesign,czhong9106
BayesPieceHazSelect,andrewgchapple
BayesPiecewiseICAR,cran
bayesplay,bayesplay
bayesplot,stan-dev
bayespm,cran
bayesPO,guidoamoreira
bayesPop,hanase
BayesPostEst,shanascogin
BayesPPD,cran
BayesProject,ghahn-hsph
bayesQR,driesbenoit
bayesRecon,dazzimonti
bayesreg,cran
Bayesrel,juliuspfadt
BayesRep,samch93
BayesRepDesign,samch93
BayesReversePLLH,cran
BayesRGMM,cran
bayesROE,waidschrat
BayesRS,mirkoth
bayesrules,bayes-rules
bayess,jmm34
BayesS5,minsuk000
BayesSAE,cran
BayesSampling,pedrosfig
BayesSenMC,formidify
BayesSpace,edward130603
BayesSpec,cran
BayesSPsurv,nicolas-schmidt
BayesSUR,zhizuio
BayesSurvival,svdpas
bayest,riko-k
bayestestR,easystats
bayesTFR,hanase
BayesTools,fbartos
