package,registry,owner
AriGaMyANNSVR,cran,sandipgarai
ARIMAANN,cran,
armada,cran,aurelie-gueudin
AROC,cran,coterodriguez
Arothron,cran,aprofico
ARPALData,cran,paolomaranzano
ARpLMEC,cran,
ArrayExpress,bioc,
arrayMvout,bioc,vjcitn
arrayQuality,bioc,
ARRmNormalization,bioc,
ars,cran,
ART,cran,
artfima,cran,angusian
arulesSequences,cran,
ASAFE,bioc,
asaur,cran,mooredf22
asbio,cran,kenaho1
ascentTraining,cran,harryjalexander
asd,cran,astroherring
ASEB,bioc,
ASGS.foyer,cran,hughparsonage
ASGSCA,bioc,
ash,cran,
asht,cran,
ASICS,bioc,
ASIP,cran,
asnipe,cran,
aSPC,cran,
aspi,cran,waylandm
ASpli,bioc,
asremlPlus,cran,
ASRgenomics,cran,sgezan
ASSA,cran,mmbbcarvalho
AssessORF,bioc,
ASSET,bioc,
AssetCorr,cran,maximiliannaglur
AssetPricing,cran,rolfturner
assignR,cran,bumbanian
assist,cran,
AssocAFC,cran,kkunji
assocInd,cran,
AssocTests,cran,liqgroup
assortnet,cran,
aster,cran,cjgeyer
aster2,cran,cjgeyer
AsthmaNHANES,cran,suntaojj
astrochron,cran,
astrodatR,cran,
astroFns,cran,
astsa,cran,dsstoffer
ASURAT,bioc,
ASV,cran,omori-yasuhiro
AsyK,cran,jahmadkhan
asymLD,cran,rsingle
AsymmetricSORDs,cran,
asymmetry,cran,berriez
asymmetry.measures,cran,
asympTest,cran,lafaye
AsynchLong,cran,sth1402
ata,cran,chajewski
atlas,cran,podalv
atmopt,cran,simonmak
ATNr,cran,
ATR,cran,thothorn
aTSA,cran,
attract,bioc,
attrib,cran,raubreywhite
AUC,cran,ballings
AUCell,bioc,
audiometry,cran,
audit,cran,
audrex,cran,
AugmenterR,cran,datasets-trainer
augSIMEX,cran,
AurieLSHGaussian,cran,auriee
auRoc,cran,daifengstat
AUtests,cran,
auto.pca,cran,navinkumarnedunchezhian
autoBagging,cran,vcerqueira
autoencoder,cran,youph
autoFRK,cran,h0h1
autoharp,cran,
automap,cran,jskoien
AutoPipe,cran,falafel19
Autoplotprotein,cran,
autoRasch,cran,
AutoregressionMDE,cran,
autoScorecard,cran,aughunter
Autoseed,cran,jaredrecords
AutoStepwiseGLM,cran,
autostsm,cran,hubbardalex
AutoWeatherIndices,cran,
averisk,cran,johnfergusonnuig
aweSOM,cran,
awinR,cran,pablosanmar
aws,cran,jpolzehl
aws.alexa,cran,soodoku
awsMethods,cran,jpolzehl
AZIAD,cran,niloufardousti
aziztest,cran,
BaalChIP,bioc,
babsim.hospital,cran,bartzbeielstein
BACCT,cran,
bacistool,cran,jjacklee116
bacon,bioc,
BACprior,cran,detal9
bacr,cran,
BADER,bioc,
BadRegionFinder,bioc,
BAGofT,cran,
BAGS,bioc,
bahc,cran,damienchallet
BalanceCheck,cran,
BalancedSampling,cran,antongrafstrom
baldur,cran,
Ball,cran,mamba413
BALLI,cran,
BallMapper,cran,pdlotko
BaM,cran,jgill22
bamboo,cran,dbdahl
bamdit,cran,bayesstats
bamlss,cran,freezenik
BAMMtools,cran,
bandit,cran,markusloecher
banditpam,cran,bnaras
bangladesh,cran,
bannerCommenter,cran,billvenables
banocc,bioc,
BANOVA,cran,banovaapp
bapred,cran,romanhornung
BAR,cran,
BarBorGradient,cran,alterion
barcode,cran,jayemerson
BarcodingR,cran,zhangab2008
BART,cran,rsparapa
bartBMA,cran,
bartMachine,cran,
bartMachineJARs,cran,
Barycenter,cran,marcelklatt
basad,cran,qingdan
base.rms,cran,
basecallQC,bioc,
basedosdados,cran,pedrocava
BaseSpaceR,bioc,
BaseTempSeed,cran,hardikghosh911
Basic4Cseq,bioc,
basicMCMCplots,cran,danielturek
basicspace,cran,jameslo989
BasicSTARRseq,bioc,
basifoR,cran,wilarhen
basilisk.utils,bioc,
BASiNET,cran,fabriciomlopes
BASiNETEntropy,cran,fabriciomlopes
BaSkePro,cran,marco-vidal
BASS,cran,dfrancom
bastah,cran,
BAT,cran,
batch,cran,
batchelor,bioc,
batchmeans,cran,drjphughesjr
batteryreduction,cran,chunqiaoluo
BAwiR,cran,
Bayenet,cran,xilustat
bayesanova,cran,riko-k
BayesARIMAX,cran,
BayesBEKK,cran,
BayesBinMix,cran,mqbssppe
BayesBP,cran,
BayesCACE,cran,formidify
BayesCR,cran,
BayesDA,cran,kjetil1001
BayesDesign,cran,
bayesdistreg,cran,
BayesFluxR,cran,
BayesFM,cran,piatek
bayesforecast,cran,
bayesGAM,cran,
BayesGOF,cran,
BayesGWQS,cran,mmcarli
bayesianETAS,cran,gordonjamesross
Bayesiangammareg,cran,
BayesianGLasso,cran,trainorp
BayesianMediationA,cran,qingzhaoyu
Bayesiantreg,cran,mmarinj
BayesKnockdown,bioc,
BayesLCA,cran,itsarthurwhite
bayesLife,cran,hanase
BayesLN,cran,agardini
bayesloglin,cran,
bayeslongitudinal,cran,
bayesm,cran,
bayesmeta,cran,christianroever
bayesmix,cran,
BayesMixSurv,cran,asmahani
BayesMortalityPlus,cran,
bayesMRM,cran,mansukoh
BayesMultMeta,cran,ethorsn
BayesNSGP,cran,danielturek
BayesOrdDesign,cran,czhong9106
BayesPieceHazSelect,cran,andrewgchapple
BayesPiecewiseICAR,cran,
bayesPop,cran,hanase
BayesPPD,cran,
BayesProject,cran,ghahn-hsph
bayesQR,cran,driesbenoit
bayesRecon,cran,dazzimonti
bayesreg,cran,
BayesReversePLLH,cran,
BayesRGMM,cran,
BayesS5,cran,minsuk000
BayesSAE,cran,
BayesSpec,cran,
BayesSUR,cran,zhizuio
BayesSurvival,cran,svdpas
bayest,cran,riko-k
bayesTFR,cran,hanase
BayesTree,cran,remcc
BayesX,cran,freezenik
BayesXsrc,cran,freezenik
bayesZIB,cran,dmorinya
bayMDS,cran,mansukoh
baySeq,bioc,
BAYSTAR,cran,edmhlin
BB,cran,
BBCAnalyzer,bioc,
BBcor,cran,donaldrwilliams
bbdetection,cran,
BBEST,cran,antongagin
bbl,cran,hjunwoo
bbreg,cran,
BBSSL,cran,
bc3net,cran,bio-complexity
BCA1SG,cran,
BCBCSF,cran,
BCC1997,cran,
bccp,cran,mahditeimouri
BCDating,cran,einian85
BcDiag,cran,ewouddt
BCE,cran,
BCEE,cran,detal9
bcfrailph,cran,
bcfrailphdv,cran,
bcgam,cran,
BCgee,cran,nicolalunardon
BCHM,cran,jjacklee116
BClustLonG,cran,jjr1234
BCRA,cran,
BCRANK,bioc,
BCSub,cran,sunnypig1988
BCT,cran,valentinian22
bda,cran,
bdDwC,cran,pogibas
bde,cran,gsantafe
BDEsize,cran,
BDgraph,cran,rezamoammadi
bdlp,cran,
BDMMAcorrect,bioc,
bdpopt,cran,j0bj0rns
bdpv,cran,
bdribs,cran,
bdsmatrix,cran,
BE,cran,
BEACH,cran,danniyugithub
beadarray,bioc,
beadarraySNP,bioc,
BeadDataPackR,bioc,
beanplot,cran,
beanz,cran,
bearishTrader,cran,maheshpkumar
BEARscc,bioc,
beast,cran,mqbssppe
BEAT,bioc,
BEDASSLE,cran,gbradburd
bedr,cran,pboutros
befproj,cran,thure666
BEKKs,cran,
Benchmarking,cran,larsot23
bender,cran,
benford,cran,
BenfordTests,cran,
BENMMI,cran,
bentcableAR,cran,
benthos,cran,
BeSS,cran,
bestglm,cran,cliffordlai
besthr,cran,tsl-zz
Bestie,cran,jackkuipers
BESTree,cran,
bestridge,cran,yufeng031
bestSDP,cran,leoly2017
betaBayes,cran,
betacal,cran,tmfilho
betafunctions,cran,
betapart,cran,
BetaPASS,cran,
betaper,cran,luiscayuela
betareg,cran,zeileis
betategarch,cran,
bethel,cran,micheledemeo
BeviMed,cran,daniel-jg
BeyondBenford,cran,
beyondWhittle,cran,
BFF,cran,rshudde
bfp,cran,danielinteractive
BG2,bioc,
bgeva,cran,
BGFD,cran,
BGLR,cran,
BGmisc,cran,
BGmix,bioc,
bgsmtr,cran,v2south
bgw,cran,
bgx,bioc,
BHAI,cran,
Bhat,cran,mezarafael
BHC,bioc,
BHH2,cran,kjetil1001
bhmbasket,cran,
bhpm,cran,
BHSBVAR,cran,
BHTSpack,cran,
BiasedUrn,cran,agnerf
bibliometrixData,cran,
BibPlots,cran,rhaunschild
bibs,cran,mahditeimouri
BicARE,bioc,
biClassify,cran,aflapan
biclust,cran,
BICORN,cran,
BiDAG,cran,polinasuter
bidask,cran,eguidotti
BIDistances,cran,quirinms
BIEN,cran,bmaitner
BiFET,bioc,
bifurcatingr,cran,
biganalytics,cran,
bigBits,cran,
bigdatadist,cran,
bigGP,cran,paciorek
BiGGR,bioc,
biglm,cran,
bigmatch,cran,ruoqiyu
bigmelon,bioc,
bigmemory.sri,cran,
BigQuic,cran,kkunji
bigsimr,cran,
bigsplines,cran,
bigtabulate,cran,
bigtcr,cran,
bikm1,cran,
bild,cran,
BimodalIndex,cran,
Binarize,cran,hkestler
BinarybalancedCut,cran,navinkumarnedunchezhian
BinaryDosage,cran,jimb3
BinaryEMVS,cran,john-snyder
BinaryEPPM,cran,
binaryGP,cran,chihli
binaryTimeSeries,cran,bilintoh
BINCOR,cran,jomopo
binda,cran,
bindata,cran,
binequality,cran,
bingadsR,cran,pablosanmar
bingat,cran,
binGroup,cran,
binGroup2,cran,bdhitt
BinGSD,cran,xiaomangmang
binhf,cran,
BinMat,cran,clarkevansteenderen
binMto,cran,
BinNonNor,cran,bernice0321
BinNor,cran,bernice0321
binom,cran,sdorairaj
binomialRF,cran,
binomialtrend,cran,
BinOrdNonNor,cran,bernice0321
binovisualfields,cran,virginiapl
BinSegBstrap,cran,florianpein
binseqtest,cran,
binsmooth,cran,djhunter
binsreg,cran,yingjieum
binst,cran,charliec443
BINtools,cran,satopaa
bio.infer,cran,
bio3d,cran,bioboot
bioassays,cran,anwarbio
biocGraph,bioc,
bioclim,cran,
BiocNeighbors,bioc,
Biocomb,cran,
BiocSet,bioc,
BiocVersion,bioc,
BiocWorkflowTools,bioc,
biodbExpasy,bioc,
biodbMirbase,bioc,
biodbNci,bioc,
bioDist,bioc,
BiodiversityR,cran,
BIOdry,cran,wilarhen
biogas,cran,sashahafnerau
biogeo,cran,
biogeom,cran,
biogrowth,cran,albgarre
BioInsight,cran,
BioMark,cran,rwehrens
BioMM,bioc,
BioMVCClass,bioc,
biomvRCNS,bioc,
BioNet,bioc,
bionetdata,cran,gvalentini58
BioPET,cran,
bioPN,cran,
BioProbability,cran,
Bios2cor,cran,
bios2mds,cran,
biosignalEMG,cran,
biosigner,bioc,
bioSNR,cran,
biospear,cran,stefanmichielsgr
biostat3,cran,mclements
BioVenn,cran,
biovizBase,bioc,lawremi
bipartiteD3,cran,jcdterry
BipartiteModularityMaximization,cran,wzhang40
biplotbootGUI,cran,ananieto
BiProbitPartial,cran,
birdring,cran,
BiRewire,bioc,
birk,cran,matthewabirk
birtr,cran,
BiSEp,cran,mwappett1986
BiSeq,bioc,
BisRNA,cran,carinelegrand
BiTrinA,cran,hkestler
Bivariate.Pareto,cran,
BivGeo,cran,ricardopuziol
bivgeom,cran,
BivRegBLS,cran,
bivrp,cran,
BivUnifBin,cran,bernice0321
blackbox,cran,f-rousset
BlackCarbon,cran,sanjeev112
BlakerCI,cran,
BlandAltmanLeh,cran,
Blaunet,cran,socnetfan
blendedLink,cran,
Blendstat,cran,
blindreview,cran,githubwilly
blm,cran,skoval
BLMA,bioc,phibya
BLModel,cran,
blockcluster,cran,joblion
BlockCov,cran,marie-perrotdockes
blockmodeling,cran,
BlockmodelingGUI,cran,
blockrand,cran,glsnow
blocksdesign,cran,rned
blockTools,cran,ryantmoore
BloodGen3Module,bioc,
BLOQ,cran,vahidnassiri
BLPestimatoR,cran,danielbr2
BLR,cran,
blrm,cran,minniesun
BLRPM,cran,
BLRShiny,cran,kartikeyabolar
BLRShiny2,cran,kartikeyabolar
bluster,bioc,
BlythStillCasellaCI,cran,
bmem,cran,johnnyzhz
bmemLavaan,cran,johnnyzhz
bmixture,cran,rezamoammadi
BMRMM,cran,yutongwu96
BMRV,cran,
BMS,cran,
BMT,cran,cjtorresj
bnClustOmics,cran,polinasuter
bnlearn,cran,
bnpa,cran,eliascarvalho
BNPdensity,cran,
BNPmix,cran,rcorradin
BNPTSclust,cran,
BNSL,cran,
BNSP,cran,papgeo
bnstruct,cran,albertofranzin
BoardGames,cran,halipahaha
Bodi,cran,yannig29
bodsr,cran,dipad-fran-bryden
bodycomp,cran,gleidsonuern
BOIN,cran,
boinet,cran,
BOJ,cran,
Bolstad,cran,jmcurran
bondAnalyst,cran,maheshpkumar
BondValuation,cran,
BoneProfileR,cran,marc-girondot
BonEV,cran,dongmeili2017
BoolNet,cran,hkestler
Boom,cran,steve-the-bayesian
BoomSpikeSlab,cran,steve-the-bayesian
BoostMLR,cran,amoljpande
boostmtree,cran,kogalur
boot,cran,
bootcluster,cran,tianmoul
bootComb,cran,
bootCT,cran,gianmarco-v
bootLR,cran,gsk3
BootMRMR,cran,samarendra88
bootnet,cran,
BootPR,cran,jh8080
bootruin,cran,baumgrt
bootStepAIC,cran,drizopoulos
bootSVD,cran,aaronjfisher
BootWPTOS,cran,
Boptbd,cran,
boral,cran,fhui28
borealis,bioc,
borrowr,cran,
BOSO,cran,lvalcarcel
BosonSampling,cran,
BoSSA,cran,lefeup
BOSSreg,cran,
BoundaryStats,cran,
boussinesq,cran,ecor
boxplotcluster,cran,gianmarcoalberti
boxplotdbl,cran,osubera
bpAcc,cran,
bpcp,cran,
bpDir,cran,davidebuttarazzi
bpgmm,cran,yaoxiangli
BPM,cran,
bpmnR,cran,gertjanssenswillen
bpp,cran,numbersman77
bpr,cran,laura-dangelo
BPRMeth,bioc,
bqtl,cran,
BRACE,cran,
BRACoD.R,cran,
brada,cran,riko-k
braggR,cran,satopaa
braidReports,cran,nathanieltwarog
BRAIN,bioc,
BrainCon,cran,cemrclinicencoding
Branching,cran,
branchpointer,bioc,
brant,cran,benjaminschlegel
braQCA,cran,
brassica,cran,
brea,cran,adam-king
breakfast,cran,ychen101
breakpoint,cran,
BreakPoints,cran,
brif,cran,profyliu
briKmeans,cran,aurora-torrente
briskaR,cran,
brlrmr,cran,maitya02
brnn,cran,
BrokenAdaptiveRidge,cran,msuchard
BrownDog,cran,
Brq,cran,rahim69
brsim,cran,gianmarcoalberti
BRugs,cran,
BRVM,cran,
brxx,cran,joshuaraytanzer
BSagri,cran,
bsamGP,cran,beomjopark
BSGW,cran,asmahani
bshazard,cran,
BSL,cran,
BsMD,cran,ejbz
BSPADATA,cran,
bspec,cran,christianroever
bspmma,cran,
BSS,cran,
BSSasymp,cran,klauschn
bssn,cran,
BSSoverSpace,cran,
BSSprep,cran,
bst,cran,
bsts,cran,steve-the-bayesian
BTdecayLasso,cran,michael262516
BTLLasso,cran,schaubert
BTSR,cran,tsprass
bubbleHeatmap,cran,ruthckb
BubbleTree,bioc,
Buddle,cran,jwboys26
BufferedMatrixMethods,bioc,
bujar,cran,
bullishTrader,cran,maheshpkumar
BUMHMM,bioc,
BurStFin,cran,
BurStMisc,cran,
bursts,cran,jeffbinder
BUS,bioc,
BUScorrect,bioc,
BusinessDuration,cran,gnaneshwar441
butterflyOptions,cran,maheshpkumar
bvls,cran,
bvpSolve,cran,karlines
BVSNLP,cran,amirnikooie
bwd,cran,
BwQuant,cran,mercedesconde
bws,cran,
C19dNUTS,cran,thomaswielandgeo
c3net,cran,
ca,cran,
CA3variants,cran,
cabootcrs,cran,
cacIRT,cran,quinn-lathrop
CaDENCE,cran,alexcannon
CADFtest,cran,
CADStat,cran,
CAEN,bioc,
CAFE,bioc,
CAGEr,bioc,
cAIC4,cran,druegamer
CAinterprTools,cran,gianmarcoalberti
calACS,cran,agu-1
Calculator.LR.FNs,cran,
calcWOI,cran,
calendar,cran,robinlovelace
calendR,cran,sidoruvigo
calendRio,cran,mschilli87
CALIBERrfimpute,cran,
calibrate,cran,jangraffelman
calibrateBinary,cran,chihli
CalibratR,cran,
calidad,cran,klauslehmann
CalSim,cran,resinj
CAMAN,cran,doebler
CAMML,cran,schiebout
campaignmanageR,cran,pablosanmar
canadianmaps,cran,
cancerclass,bioc,
CancerEvolutionVisualization,cran,pboutros
cancerGI,cran,audreyqyfu
CancerInSilico,bioc,
cancerTiming,cran,epurdom
Canopy,cran,yuchaojiang
CANSIM2R,cran,
cape,cran,annaltyler
capitalR,cran,
caplot,cran,gianmarcoalberti
capn,cran,
capushe,cran,
carat,cran,yexiaoqingruc
CARBayesdata,cran,duncanplee
Cardinal,bioc,
care,cran,
caresid,cran,gianmarcoalberti
carfima,cran,hyungsuktak
caribou,cran,
CARM,cran,
caROC,cran,ziyili20
caroline,cran,
caRpools,cran,
CARRoT,cran,albazarova
carSurv,cran,
cartogramR,cran,pierre-andre
caschrono,cran,
CASCORE,cran,
cascsim,cran,windwill
CaseCohortCoxSurvival,cran,wheelerb
caseMatch,cran,nielsenrich
CASMAP,cran,
CASMI,cran,
casper,bioc,davidrusi
castor,cran,
cat,cran,fernandotusell
cata,cran,jcc9
catch,cran,yuqingxx
catdap,cran,
catdata,cran,schaubert
CatDataAnalysis,cran,cjgeyer
CatDyn,cran,ruben-hernan
cate,cran,qingyuanzhao
Category,bioc,
CatEncoders,cran,rnorm
caTools,cran,coffeemuggler
CatPredi,cran,irantzubarrio
catR,cran,huacheng1985
CatReg,cran,
catseyes,cran,
CATT,cran,marsdu1989
CATTexact,cran,edelmand21
CauchyCP,cran,wpihongzhang
cauchypca,cran,
causal.decomp,cran,syeonkang
causaldata,cran,nickch-k
causaldrf,cran,
CausalGAM,cran,quinn-kevin
CausalKinetiX,cran,niklaspfister
CausalQueries,cran,till-tietz
CausalR,bioc,
causalweight,cran,hbodory
CautiousLearning,cran,
CAvariants,cran,
caviarpd,cran,dbdahl
CB2,cran,
cba,cran,
cbaf,bioc,
cbanalysis,cran,
CBCgrps,cran,
CBPS,cran,christianfong
cbq,cran,
CBT,cran,
CC,cran,wjbraun
CCA,cran,sebdejean
cccd,cran,dmarchette
cccm,cran,
cccp,cran,bpfaff
cccrm,cran,jlcarrascoub
ccda,cran,
ccfindR,bioc,
cchs,cran,
cclust,cran,
ccmap,bioc,alexvpickering
ccmm,cran,
ccoptimalmatch,cran,
CCP,cran,uwemenzel
CCPROMISE,bioc,
ccRemover,cran,
ccrepe,bioc,
ccrs,cran,
ccss,cran,abhibhavs
cctools,cran,
CCTpack,cran,
cdcsis,cran,mamba413
cdfquantreg,cran,
CDFt,cran,
CDLasso,cran,
cdlei,cran,
CDMConnector,cran,
CDNmoney,cran,
cdparcoord,cran,
CDROM,cran,
cds,cran,schoonees
CDSS,cran,chockemeyer
CDVineCopulaConditional,cran,
CEDA,cran,
CEEMDANML,cran,sandipgarai
CEGO,cran,martinzaefferer
celaref,bioc,
CellBarcode,bioc,
cellHTS2,bioc,
CelliD,bioc,
cellity,bioc,
cellKey,cran,bernhard-da
CellMapper,bioc,
CellNOptR,bioc,
cellOrigins,cran,davidhmolnar
cellscape,bioc,
CellScore,bioc,
celltrackR,cran,jtextor
CellTrails,bioc,
cellVolumeDist,cran,
cellWise,cran,jakobraymaekers
cem,cran,
cemco,cran,andrefujita
CEMiTool,bioc,
CenBAR,cran,
cencrne,cran,
cenGAM,cran,
cenROC,cran,
censCov,cran,
CensMFM,cran,franciscoalencar
censorcopula,cran,
centiserve,cran,
centralplot,cran,
CEoptim,cran,
Cepo,bioc,
cepp,cran,dmohit
cequre,cran,
CERFIT,cran,
CeRNASeek,cran,
Certara.NLME8,cran,certara-jcraig
CeTF,bioc,
CexoR,bioc,
